SKU,SKU (C),Season,Category,Category (C),Sub-Category (C),Specs (C),Gender (C),Item,Item (C),Color (C),Design,Design (C),Nombre ropa (C),Color Design,Fabric,Print/Dye,Size,Other,S,M,L,XL,Quantity TOTAL,Quantity Available,Price,Total Value,Photo,Notes,Notes Cami,Status,Photo Comments,Photos Drive Link,Etsy Link,Website Link,Titles GPT,Description,Key words
TOC-ONESIE-DRK-SGE-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Dark Sage,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-DNM-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Denim,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-GRN-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Green,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-KING-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Kingfisher,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-KING-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Kingfisher,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-KING-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Kingfisher,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-LGT-BLU-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Light Blue,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-LGT-BLU-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Light Blue,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-LGT-BLU-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Light Blue,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-LOG-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Logwood,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-LOG-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Logwood,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-NEB-NAV-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Nebula Navy,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-NEB-NAV-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Nebula Navy,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-NEB-NAV-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Nebula Navy,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-OLV-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Olive,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-OLV-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Olive,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PCH-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Peach,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PCH-Newborn,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Peach,,,,100% Organic Cotton,,Newborn,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PCH-FERN-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Peach with Fern,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PCH-FERN-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Peach with Fern,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PRWK-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Periwinkle,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PRWK-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Periwinkle,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PLM-BLO-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Plum Blossom,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-PWR-BRY-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Power Berry,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-RAI-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Raisins,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-RAI-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Raisins,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-RAI-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Raisins,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-ROS-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Rose with ToC Print,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SEQ-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sequoia,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SEQ-Newborn,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sequoia,,,,100% Organic Cotton,,Newborn,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SKY-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sky Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SKY-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sky Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SKY-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sky Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SKY-GRY-69months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Sky Grey,,,,100% Organic Cotton,,6-9 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TAN-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Tan,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TEL-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Teal Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TEL-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Teal Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TEL-BLU-36months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Teal Blue,,,,100% Organic Cotton,,3-6 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TMBR-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Timberwolf,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TMBR-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Timberwolf,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-TMBR-03months,,Lifestyle,Baby Onesies,,,,,Baby Onesie,,,Timberwolf,,,,100% Organic Cotton,,0-3 months,,,,,,1,,$18,$18,,100% organic cotton,,Not Started,,,,,,,
TOC-ONESIE-SET-RAINBOW-ASST,,Lifestyle,Baby Onesies,,,,,Onesie Set of 5,,,"Rainbow - Rose, Peach, Nude, Green, Grey",,,,100% Cotton,,Assorted,,,,,,1,,$60,$60,,100% cotton assorted sizes,,Not Started,,,,,,,
TOC-HDSRF-CHOC-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Chocolate,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-GLD-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Gold,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-IND-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Indigo,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-IVY-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Ivory,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-NDE-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Nude,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-SLV-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Silver,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-HDSRF-SUN-OS,,Lifestyle,Headscarves,,,,,Hemp Silk Headscarf,,,Sunshine,,,,Hemp Silk,,OS,,,,,,1,,$30,$30,,Hemp silk,,Not Started,,,,,,,
TOC-LEG-LUM-GRN-FLW-OS,,Lifestyle,Leggings - Luminaya,,,,,Womens Leggings,,,Green with Flower of Life Print,,,,Mixed,,OS,,,,,,1,,$40,$40,,Screen printed,,Not Started,,,,,,,
TOC-LEG-LUM-GRN-FLW-OS,,Lifestyle,Leggings - Luminaya,,,,,Womens Leggings,,,Green with Flower of Life Print,,,,Mixed,,OS,,,,,,1,,$40,$40,,Screen printed,,Not Started,,,,,,,
TOC-LEG-LUM-GRN-SHPB-OS,,Lifestyle,Leggings - Luminaya,,,,,Womens Leggings,,,Green with Shipibo Screen Print,,,,Mixed,,OS,,,,,,1,,$40,$40,,Screen printed,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-ASS-ASSORTED,,Lifestyle,Patches,,,,,Patch,,,Assorted,,,,Mixed,,Assorted,,,,,,1,,$5,$5,,Assorted patches,,Not Started,,,,,,,
TOC-PATCH-GRN-HEX-SMALL,,Lifestyle,Patches,,,,,Patch - Hexagon Geometric,,,Green Hexagon with Blue Geometric Print,,,,Mixed,,Small,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-COL-TRBL-LARGE,,Lifestyle,Patches,,,,,Patch - Large Natural Tribal,,,Natural Colors with Tribal Design,,,,Mixed,,Large,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-COL-TRBL-LARGE,,Lifestyle,Patches,,,,,Patch - Large Natural Tribal,,,Natural Colors with Tribal Design,,,,Mixed,,Large,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-COL-TRBL-LARGE,,Lifestyle,Patches,,,,,Patch - Large Natural Tribal,,,Natural Colors with Tribal Design,,,,Mixed,,Large,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-COL-TRBL-LARGE,,Lifestyle,Patches,,,,,Patch - Large Natural Tribal,,,Natural Colors with Tribal Design,,,,Mixed,,Large,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-COL-TRBL-LARGE,,Lifestyle,Patches,,,,,Patch - Large Natural Tribal,,,Natural Colors with Tribal Design,,,,Mixed,,Large,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-PATCH-BRN-SQU-SMALL,,Lifestyle,Patches,,,,,Patch - Small Geometric,,,Brown Square with Geometric Print,,,,Mixed,,Small,,,,,,1,,$5,$5,,Hand sewn and screen printed,,Not Started,,,,,,,
TOC-LEO-REV-AQU-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,Aqua Velvet with Flowers,,,,Velvet,,XS,,,,,,1,,$80,$80,,,,Not Started,,,,,,,
TOC-LEO-REV-BLK-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,Black Velvet with Black and White Stripes,,,,Velvet,,XS,,,,,,1,,$80,$80,,,,Not Started,,,,,,,
TOC-LEO-REV-EMR-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,Emerald Velvet with Black and White Stripes,,,,Velvet,,XS,,,,,,1,,$80,$80,,,,Not Started,,,,,,,
TOC-LEO-REV-MOS-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,Moss Velvet with Flowers,,,,Velvet,,XS,,,,,,1,,$80,$80,,,,Not Started,,,,,,,
TOC-LEO-REV-TEL-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,Teal Velvet with Black and White Stripes,,,,Velvet,,XS,,,,,,1,,$70,$70,,,,Not Started,,,,,,,
TOC-LEO-REV-WHT-VLV-XS,,Lifestyle,Reversible Leotards,,,,,Reversible Leotard,,,White Velvet with Black and White Stripes,,,,Velvet,,XS,,,,,,1,,$80,$80,,,,Not Started,,,,,,,
TOC-LEG-SMPL-ASSTGEO-S,,Lifestyle,Sample Leggings,,,,,Sample Leggings,,,Assorted Geometric,,,,Recycled Polyester,,S,,,,,,1,,$20,$20,,,,Not Started,,,,,,,
TOC-LEG-SMPL-ASSTGEO-S,,Lifestyle,Sample Leggings,,,,,Sample Leggings,,,Assorted Geometric,,,,Recycled Polyester,,S,,,,,,1,,$20,$20,,,,Not Started,,,,,,,
TOC-LEG-SMPL-ASSTGEO-S,,Lifestyle,Sample Leggings,,,,,Sample Leggings,,,Assorted Geometric,,,,Recycled Polyester,,S,,,,,,1,,$20,$20,,,,Not Started,,,,,,,
TOC-LEG-SMPL-ASSTGEO-S,,Lifestyle,Sample Leggings,,,,,Sample Leggings,,,Assorted Geometric,,,,Recycled Polyester,,S,,,,,,1,,$20,$20,,,,Not Started,,,,,,,
TOC-SCRUNCH-BLU-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Blue,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-GRY-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Grey,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-ORG-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Orange,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-SGE-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Sage,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-SGE-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Sage,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-TUR-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Turquoise,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-TUR-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Turquoise,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-TUR-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Turquoise,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SCRUNCH-TUR-OS,,Lifestyle,Scrunchies,,,,,Hand Dyed Scrunchie,,,Turquoise,,,,Hemp,,OS,,,,,,1,,$15,$15,,Hemp scrap fabric hand dyed,,Not Started,,,,,,,
TOC-SHORT-HIVE-MIN-M,,Lifestyle,Shorts,,,,,Shorts,,,Hive Mind,,,,Recycled Polyester,,M,,,,,,1,,$55,$55,,,,Not Started,,,,,,,
TOC-SHORT-HIVE-MIN-S,,Lifestyle,Shorts,,,,,Shorts,,,Hive Mind,,,,Recycled Polyester,,S,,,,,,1,,$55,$55,,,,Not Started,,,,,,,
TOC-SHORT-RNBW-RIV-S,,Lifestyle,Shorts,,,,,Shorts,,,Rainbow River,,,,Recycled Polyester,,S,,,,,,1,,$55,$55,,,,Not Started,,,,,,,
TOC-SHORT-TERRA-BUT-S,,Lifestyle,Shorts,,,,,Shorts,,,Terracotta Butterfly,,,,Recycled Polyester,,S,,,,,,1,,$55,$55,,,,Not Started,,,,,,,
TOC-PILLOW-SILK-AVO-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Avocado,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-PILLOW-SILK-CHML-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Chamomile,,,,Silk,,OS,,,,,,1,,$80,$80,,Plant dyed silk,,Not Started,,,,,,,
TOC-PILLOW-SILK-CHE-QUE-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Chestnut and Quebracha,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-PILLOW-SILK-COC-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Cochineal,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-PILLOW-SILK-COR-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Coreopsis,,,,Silk,,OS,,,,,,1,,$80,$80,,Plant dyed silk,,Not Started,,,,,,,
TOC-PILLOW-SILK-LAC-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Lac,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-PILLOW-SILK-MAD-ROO-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Madder Root,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-PILLOW-SILK-MRGLD-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Marigold,,,,Silk,,OS,,,,,,1,,$80,$80,,Plant dyed silk,,Not Started,,,,,,,
TOC-PILLOW-SILK-ONI-SKI-OS,,Lifestyle,Silk Pillowcases,,,,,Silk Pillowcases (set of 2),,,Onion Skins,,,,Silk,,OS,,,,,,1,,$80,$80,,Price TBC,,Not Started,,,,,,,
TOC-BRA-YOGA-HIVE-MIN-S,,Lifestyle,Yoga Bras,,,,,Yoga Bra,,,Hive Mind,,,,Recycled Polyester,,S,,,,,,1,,$45,$45,,,,Not Started,,,,,,,
TOC-BRA-YOGA-SOU-S,,Lifestyle,Yoga Bras,,,,,Yoga Bra,,,Sound,,,,Recycled Polyester,,S,,,,,,1,,$45,$45,,,,Not Started,,,,,,,
TOC-BRA-YOGA-SOU-S,,Lifestyle,Yoga Bras,,,,,Yoga Bra,,,Sound,,,,Recycled Polyester,,S,,,,,,1,,$45,$45,,,,Not Started,,,,,,,
TOC-BRA-YOGA-SOU-S,,Lifestyle,Yoga Bras,,,,,Yoga Bra,,,Sound,,,,Recycled Polyester,,S,,,,,,1,,$45,$45,,,,Not Started,,,,,,,
TOC-BRA-YOGA-SOU-S,,Lifestyle,Yoga Bras,,,,,Yoga Bra,,,Sound,,,,Recycled Polyester,,S,,,,,,1,,$45,$45,,,,Not Started,,,,,,,
